#separator:tab
#html:true
#columns:deck	front	back
Anatomie::Paroi interne du crâne	Engagement tentoral donne 2 symptômes ?	 Paralysie nerf 3 avec dilatation aréactive de la pupille<br> Atteinte du nerf 4 donne une paralysie de l’oculomotricité.<br>S'il continue a saigner dans sa tête, il va faire un engagement amygdalien dans le foramen<br>magnum : tout le névraxe est poussé hors de la cavité crânienne. Ceci aura 2 conséquences<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Symptomatiques importantes de cortex cérébral ?	 Compression du noyau du nerf vague, situé dans la moelle allongée. Les fibres du<br>nerf vague va traverser la base du crâne, et se retrouver dans la région cervicale.<br>Le nerf vague va assurer la commande cardiovasculaire. S'il fait un engagement<br>amigdalien, il est menacé d’arrêt cardiorespiratoire.<br> Dans le tronc cérébral se trouve également le noyau du nerf accessoire, dont les<br>fibres vont croiser le nerf vague, et aller innerver le SCM et le trapèze. Par<br>conséquent, par atteinte du nerf accessoire, le malade va présenter une rigidité<br>buccale.<br>Si qqn s’est pris un arbre, et qui est en mauvais état général, parce qu’il a pris un coup sur la<br>tête, on doit faire 2 choses,<br> regarder ses yeux, si on se rend compte qu’il a les pupilles dilatées qui ne<br>répondent pas, il à une Mydriase aréactive, on sait que son cerveau descend<br>dans incisure tentorielle de Pacchioni. Si en plus il a un regard en soleil<br>couchant (regard pathétique), il a déjà une paralysie du nerf 4.<br> Et on doit prendre son pouls. S'il devient bradycarde, il a déjà engagé son<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Vue supérieure de la base du crane ?	/!\ question fréquemment posée a l’examen<br>VJI<br>On voit 2 plans différents du coté G et D. Gauche, crâne sec, droite, crâne frais. On retrouve<br>la POE en arrière, et les os propres du nez en avant, ainsi que l’arcade zygomatique.<br>Quand on a enlevé la voute du crâne et le cerveau, on voit la base du crâne, divisée en 3 tiers :<br>En avant, os frontal<br> 1/3 antérieur  fosse cérébrale antérieure<br>A la jonction, on a le bord postérieur des petites ailes du sphénoïde.<br> 1/3 moyen  fosse cérébrale moyenne<br>Bord supérieur du rocher de l’os temporal.<br> 1/3 postérieure.  fosse cérébrale postérieure.<br>En arrière, os occipital.<br>La fosse cérébrale crânienne antérieure<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Les strucutres osseuses ?	 Os frontal en avant.<br> La suture qui rejoint l’os frontal et le sphénoïde est visible.<br> Encastré en avant se trouve la lame criblée de l’os ethmoïde avec la Crista Galli (qui<br>donne insertion à la faux du cerveau),<br> devant lequel vient se mettre en place le Foramen caecum , ou trou borgne.<br> autour, on trouve la Lame criblée de l’os ethmoïde est perforé de multiples orifices.<br> La partie orbitaire de l’os frontal qui est soulevé généralement par des empruntes qui<br>correspondent aux empruntes du lobe antérieur du cerveau.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Limites de la fosse cérébrale antérieure ?	« en arrière, le bord postérieur de la petite aile de l’os sphénoïde qui se termine du<br>côté médial,par le processus clinoïde antérieur.<br>« limitée en avant par l’os frontal,<br>« en bas par la partie orbitaire de l’os frontal, la petite aile du sphénoïde, et sur la<br>ligne médiane, par la lame criblée de l’os ethmoïde soulevé par la Crista Galli.<br>La méninge vient s’appliquer sur ces structures. En avant, il y à la constitution de la faux du<br>cerveau, qui s’arc boute sur la Crista Galli.<br>Les artères méningées antérieures traversent la lame criblée de l’ethmoïde, en venant des<br>artères ethmoïdales, et passent sous la méninge. Elles se dirigent vers le cerveau, et<br>vascularisent la fosse cérébrale antérieure.<br>Sur la lame criblée de l’os ethmoïde contre la faux du cerveau, vient reposer ici le premier<br>nerf crânien, le nerf olfactif, c’est le seul nerf dans la fosse cérébrale antérieure. La bulbe<br>olfactive est situé sous la tente olfactive.<br>La fosse crânienne moyenne<br>Elle est marquée dans la partie centrale par la selle turcique, qui contient l’hypophyse,<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Délimiter une loge est crucial pour l'examen clinique et comprendre l'extension des infections.</div>
Anatomie::Paroi interne du crâne	Les vaisseaux de cortex cérébral ?	 En regardant la méninge, on voit courir le long du bord libre de la petite aile une<br>veine, sinus sphéno-pariétal.<br> On voit courir le long de la selle turcique, une grosse veine dans le dédoublement de<br>la dure mère, sinus caverneux.<br> Il contient l’artère carotide interne qui s’ouvre à la face inferieure du cerveau, en<br>sortant du plafond du sinus caverneux. Cette artère détache contre le nerf optique et<br>le processus sphénoïde antérieur, l’artère ophtalmique, qui va vers l’œil.<br>Dans la fissure orbitaire supérieure, passe le nerf III, le nerf IV, et le nerf VI. Ces 3 nerfs<br>entrent tous dans le sinus caverneux, et se retrouvent ensuite dans la fissure orbitaire<br>supérieure. Les nerfs III et VI passent dans un anneau tendineux qui donne insertion aux<br>muscles de l’œil, l’anneau tendineux de Zinne, et le IV passe en dehors de cet anneau.<br>La fosse crânienne postérieure<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Limites de cortex cérébral ?	 L’os occipital forme la paroi postérieure de la fosse crânienne postérieure, ainsi que la<br>paroi inférieure, avec sa partie antérieure qui correspond à la partie basilaire, ou basi<br>occipitale, et sa partie postérieure qui correspond à l’écaille occipitale.<br> Limité en avant par la partie postérieure du rocher de l’os temporal<br>Le Cervelet va venir reposer ici, sous la tente du cervelet.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Délimiter une loge est crucial pour l'examen clinique et comprendre l'extension des infections.</div>
Anatomie::Paroi interne du crâne	Les foramens de cortex cérébral ?	 Au milieu de la fosse postérieure, un vaste orifice étranglé dans sa partie moyenne, le<br>foramen magnum traversé par la moelle allongée, et plus bas par la moelle épinière.<br> La fosse crânienne postérieure montre dans sa partie antérieure le conduit auditif<br>interne,<br> en arrière, le vaste orifice du foramen jugulaire. Celui-ci est divisé en 2 parties, une<br>antérieure et une postérieure séparés par une épine.<br> Sur la partie basilaire, sous les condyles, on voit l’orifice du nerf XII, le nerf<br>hypoglosse.<br>On a représenté la Partie initiale de la tente du cervelet, comme si elle avait été coupée, et<br>tirée vers le haut. On va voir le Contenu de la fosse postérieure.<br>Les nerfs crâniens.<br>« Nerf trijumeau. Il a au départ, une racine motrice située en dessous (inféro-médial<br>de lui, et une grosse racine sensitive.<br>Il se situe en dessous de la partie initiale de la tente du cervelet dans l’Espace du<br>Cavum trigéminal de Meckel ou il se dilate, en regard de cette dépression<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Paroi interne du crâne	Les artères de cortex cérébral ?	 L’Artère vertébrale entre dans la cavité crânienne en contournant le tronc<br>cérébral, rejoint l’artère vertébrale du coté opposé, et devient l’artère basilaire, et<br>qui va ensuite se diviser en arrière de la selle turcique pour donner les 2 artère<br>cérébrale postérieures.<br>o Elle détache des artères méningées postérieures qui passent également par<br>un autre contingent dans la partie postérieure de la fosse (en plus de<br>l'artère méningée postérieure qui est issue de l'artère Pha. Asc.).<br> Artère carotide interne entre dans la région, devant la fossette trigéminale, va<br>dans le sinus caverneux, et ressort ensuite à la base du cerveau.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Vascularisation = survie tissulaire. Toute lésion ici est une urgence vitale ou fonctionnelle.</div>
Anatomie::La Loge hypophysaire	Hypophysaire de la loge hypophysaire ?	 La partie antérieure<br>de la loge est<br>délimitée par le bord<br>postérieur des petites<br>ailes du sphénoïde.<br>Ce bord se termine à<br>ses extrémités par<br>des prolongements osseux : les processus clinoïdes antérieurs. On retrouve ici le Foramen<br>optique entre la racine supérieure et inferieure de la petite aile du sphénoïde, en dessous du<br>processus clinoïde.<br> Derrière la petite aile se trouve la selle turcique, qui est limitée en arrière par<br>o le dos de la selle turcique qui se termine à ses extrémités par des tubercules osseux, les<br>processus clinoïdes postérieurs.<br>o Le dos de la selle turcique s’incline en arrière, et rencontre partie supérieure de la partie<br>pétreuse de l’os temporal, dont le sommet est encoché en avant par l’emprunte<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La Loge hypophysaire	Le sinus caverneux est donc une vaste lacune veineuse dont ?	 la paroi latérale est constitué par la méninge de la<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Vascularisation = survie tissulaire. Toute lésion ici est une urgence vitale ou fonctionnelle.</div>
Anatomie::La Loge hypophysaire	Pour enlever la tumeur de l’hypophyse, plusieurs accès sont possibles : ?	 on entre dans la cavité crânienne, on voit le chiasma optique on va chercher la<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La Loge hypophysaire	On représente la région de la selle turcique, ?	on peut voir en arrière le dos, et la petite aile<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La Loge hypophysaire	Dans le siphon carotidien, l’artère détache des artères qui vont vasculariser l’hypophyse, ?	 2 artères hypophysaires inferieures, naissant de la 2e portion,<br> une artère hypophysaire moyenne naissant de la 3e portion du siphon,<br> et 3 artères hypophysaires supérieures qui naissent de la partie intracrânienne.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Vascularisation = survie tissulaire. Toute lésion ici est une urgence vitale ou fonctionnelle.</div>
Anatomie::Anatomie externe du cerveau	Le cerveau fait de anatomie externe du cerveau ?	« 17 cm de longueur,<br>« 14 cm de largeur,<br>« et 13 cm de hauteur.<br>« Il pèse 1 Kg à ,2 Kg, Il est un peu plus volumineux chez l'Homme que chez la<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Dans le SNC, une petite zone gère souvent une fonction immense. La précision anatomique y est vitale.</div>
Anatomie::Anatomie externe du cerveau	Le cerveau a ?	- une extrémité antérieure (pôle antérieur ou frontal) quadrangulaire,<br>volumineuse,<br>- une extrémité postérieure (pôle postérieur ou occipital) effilée,<br>- un bord supérieur régulièrement convexe, Sa moitié est située en regard du vertex<br>crânien.<br>- et un bord inferieur est marqué par une succession de 3 segments :<br>o le 1/3 antérieur est pratiquement horizontal, et repose dans la fosse crânienne<br>antérieure,<br>o un 2e segment qui est un segment ascendant, dans la fosse cérébrale moyenne,<br>o et dernier tiers qui est descendant, et se met sur la tente du cervelet, dans la<br>fosse cérébrale postérieure.<br>Il existe sur le Bord inferieur, il y à une profonde encoche, (zone noire sur le dessin), c’est la<br>fosse latérale du cerveau, ou vallée de Sylvius.<br>La Scissure de Sylvius ou Scissure latérale du cerveau court latéralement à la face latérale<br>de l’hémisphère cérébrale, se recourbe dans sa partie supérieure en crochet, et généralement,<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Dans le SNC, une petite zone gère souvent une fonction immense. La précision anatomique y est vitale.</div>
Anatomie::Anatomie externe du cerveau	On voit aussi la surface cironvoluée du cerveau, avec la première circonvolution ?	occipitale, O1, occipitale supérieure, O2, moyenne, et O3, inferieure.<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Dans le SNC, une petite zone gère souvent une fonction immense. La précision anatomique y est vitale.</div>
Anatomie::Anatomie externe du cerveau	Sylvius. sur le tiers postérieur encoche du sillon ?	occipital transverse, qui isole le lobe occipital du<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Anatomie externe du cerveau	Les artères de c’est l’extrémité postérieure du corps calleux, le bourrelet du corps calleux ?	 En Rouge foncé, passant dans la scissure de Sylvius, le trajet de l’artère cérébrale<br>moyenne ou Sylvienne qui va s’enfoncer à la profondeur de la scissure de Sylvius,<br>et se diviser à la surface du lobe de l’insula.<br> Autour du corps calleux, dans la fissure longitudinale du cerveau, le point de<br>passage de l’artère cérébrale antérieure,<br> et dans la fissure transversale du cerveau, ventant contourner le mésencéphale,<br>on a le trajet de l’artère cérébrale postérieure.<br>CF schématique a travers<br>l’hémisphère cérébral,<br>supérieur en haut<br>Il faut maintenant comprendre les<br>Fonctions spécifiques associés à la<br>cartographie cérébrale complexe.<br>Lobe temporal, limen cérébri,<br>Circonvolution du cingulum,<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Vascularisation = survie tissulaire. Toute lésion ici est une urgence vitale ou fonctionnelle.</div>
Anatomie::Etude du limen cérébri	Dans la région cérébrale centrale, les éléments à décrire sont : ?	 Les formations interhémisphériques, qui sont le corps calleux,<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Etude du limen cérébri	Longitudinale du cerveau ?	 Dans le prolongement de la pie mère, on trouve la première couche du septum<br>pellucidum, c’est la couche conjonctivo-vasculaire. Cette couche intercepte<br>une petite cavité, le ventricule de la cloison, qui est en fait le prolongement de la<br>FL du cerveau, qui a été séquestré entre le fornix et le corps calleux quand il<br>s’est développé dans l’embryogénèse.<br> La 2e couche est située dans le prolongement du cortex cérébral, c’est une couche<br>grise, qu’on appelle Le noyau du septum pellucidum.<br> La couche suivante est située dans le prolongement de la substance blanche, et<br>forme le faisceau médian du télencéphale.<br> Dernière couche est l’épithélium épendymaire du ventricule latéral qui prend<br>appui sur la face inferieure du corps calleux, sur le septum pellucidum, sur le<br>fornix, et donne naissance au plexus choroïde du Ventricule latéral.<br>Les cavités latérales sont les cornes frontales de chacun des Ventricules latéraux du<br>cerveau. En dessous, on voit l’arachnoïde qui bourgeonne à la face inferieure du fornix, et<br>donne naissance au plexus choroïde, l’espace situé dans le prolongement de la citerne<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Dans le SNC, une petite zone gère souvent une fonction immense. La précision anatomique y est vitale.</div>
Anatomie::Etude du limen cérébri	Le noyau antérieur reçoit des afférences de nature rhinencéphalique (le rhinencéphale est le cerveau ?	olfactif). Ces afférences sont représentées en orange, elles viennent des corps mamillaires par l’intermédiaire<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Dans le SNC, une petite zone gère souvent une fonction immense. La précision anatomique y est vitale.</div>
Anatomie::Etude du limen cérébri	La radiation thalamique postérieure est formée des fibres issues ?	 Du pulvinar et qui se terminent sur le cortex pariétal associatif formant la<br>radiation pulvinarienne.<br> Du corps géniculé latéral et qui se terminent sur le cortex visuel formant la<br>radiation optique de Gratiolet<br>La radiation thalamique inferieure comprend les fibres issues<br>- Du CGM qui vont se projeter sur le cortex temporal formant la radiation auditive<br>d'Arnold. Elle passe sous le noyau lenticulaire.<br>- Du noyau antérieur du thalamus qui se projettent sur le cortex de l'uncus formant la<br>radiation olfactive<br>Si on fait la concordance de ce dessin, avec les divisions fonctionnelles des dessins des cours<br>précédents, on verra que ces fibres de la corona radiata de Reil, se terminent point pour point<br>sur les différentes surfaces corticales associées.<br>Coupe sagittale du 3e ventricule<br>En haut, on voit le corps calleux,<br>prolongé par la lame terminale, puis<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::Etude du limen cérébri	De l&#x27;avant vers l&#x27;arrière ?	 tuber cinéréum<br> corps mamillaire<br> espace perforé postérieur<br> pédoncule cérébral<br>Lame terminale<br>CBA<br>Piliers antérieurs du trigone<br>Epiphyse<br>CBP<br>Lame tectale (soulevé par TQ)<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La région inferieure	Limites de l&#x27;hypothalamus ?	 Limite postérieure de l’hypothalamus est le corps mamillaire et<br>l'espace perforé postérieur, et s'arrête avant d'atteindre le pédoncule<br>cérébral. Il est soulevé par le corps mamillaire, et le tuber cinéreum.<br> Sa limite supérieure, est la bandelette optique,<br> On trouve aussi la lame terminale, et devant, entre la lame terminale et<br>la colonne du fornix, on trouve la commissure blanche antérieure<br>donnant la limite supérieure extrême de la région hypothalamique. Elle<br>se trouve dans le même plan que la CBP.<br> et sa limite antérieure est le chiasma optique.<br>Fonctions: L’hypothalamus constitue le cerveau végétatif, car c’est ici que se trouvent le<br>centre de la soif et de la faim, et c’est ici que se trouve le lieu de la régulation des sécrétions<br>hormonales en fonction de l’activité cérébrale.<br>Vue de l’hypothalamus.<br>En arrière on à la partie supérieure du<br>pédoncule cérébral, puis le relief du<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Délimiter une loge est crucial pour l'examen clinique et comprendre l'extension des infections.</div>
Anatomie::La région inferieure	Thalamus, et sont ?	 Le Noyau caudé<br> Le Noyau lenticulaire<br> Le noyau amygdalien<br> Le Claustrum<br>La substance blanche est organisée en une série de 3 capsules, et contient outre les éléments de la<br>corona radiata, couronne radiaire située autour du thalamus, les faisceaux intra-hémisphériques, et<br>une masse de substance blanche, le centre ovale du cerveau, ou centre de Vieussens.<br>Sur le plan des cavités, on trouve le ventricule latéral est dans chacun des 2 hémisphères.<br>Les noyaux gris centraux<br>Vue latérale du cerveau.<br>A l’intérieur du cerveau, on voit le noyau thalamique<br>diencéphalique, qui est resté au centre du cerveau, il a servi de<br>pivot fixe de l’enroulement télencéphalique, il n’a pas bougé<br>lors du développement cérébral.<br>Au coté latéral, dans la partie latérale de l’hémisphère, juste à la<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La région inferieure	Le noyau caudé constitué d’une série de 3 segments, ?	 Tête du noyau caudé, antérieure, volumineuse, devant le thalamus, se met en regard de l’espace perforé<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La région inferieure	On voit le bec du corps calleux en avant, et le bourrelet ?	ou splénium du corps calleux en arrière. Les fibres du<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Structure essentielle de la région. Visualise bien ses rapports 3D.</div>
Anatomie::La région inferieure	On voit aussi la corne frontale du ventricule latéral ombrée de noir, ?	 Plafond = corps calleux<br> La paroi inferieure = noyau caudé, face supérieure du thalamus, et face<br><br><div style='color: #2c3e50; border-top: 1px solid #ccc; padding-top: 10px; font-size: 0.9em; font-style: italic;'><i>Réflexion de Jules :</i> Dans le SNC, une petite zone gère souvent une fonction immense. La précision anatomique y est vitale.</div>
